Grade,ID,Problem
K,K-01,Count these objects and write the number: ⚽⚽
K,K-02,Start at 11 and count forward to 21. Write the numbers
K,K-03,Draw a rectangle and a triangle. Label each?
K,K-04,"Which is longer, a 8-cube stick or a 5-cube stick?"
K,K-05,Show a way to make 10 using two numbers
K,K-06,"Circle the number that is greater, 8 or 1"
K,K-07,How many sides does a square have?
K,K-08,"Add within 10, 4 + 1"
K,K-09,"Subtract within 10, 8 - 2"
K,K-10,"Which shape is a solid, a cube or a circle?"
1,1-01,What is 10 + 5?
1,1-02,What is 18 - 9?
1,1-03,Count by 10s from 30 to 100
1,1-04,Write the value of the digit 7 in 170?
1,1-05,"Which is heavier, a book or a pencil?"
1,1-06,Draw a rectangle and divide it into 2 equal parts. Shade one half?
1,1-07,"Which number is greater, 34 or 21?"
1,1-08,What time is shown on a clock with the hour hand at 3 and the minute hand at 12?
1,1-09,What is 18 + 11?
1,1-10,What is 18 - 9?
1,1-11,Count by 10s from 20 to 100
1,1-12,Write the value of the digit 7 in 70?
1,1-13,"Which is heavier, a book or a pencil?"
1,1-14,Draw a rectangle and divide it into 2 equal parts. Shade one half?
1,1-15,"Which number is greater, 19 or 52?"
1,1-16,What time is shown on a clock with the hour hand at 3 and the minute hand at 12?
2,2-01,What is 200 + 140?
2,2-02,What is 705 - 268?
2,2-03,How many quarters make $1.50?
2,2-04,A rectangle has sides 9 cm and 8 cm. What is the perimeter
2,2-05,What time is 15 minutes after 1:30?
2,2-06,Write the number that is 10 more than 245?
2,2-07,Draw an array with 2 rows of 5 to show repeated addition?
2,2-08,Measure a pencil to the nearest inch. Is it 5 inches
2,2-09,"Compare using >, =, or <, 347 __ 349?"
2,2-10,Round 499 to the nearest ten?
2,2-11,What is 300 + 210?
2,2-12,What is 755 - 298?
2,2-13,How many quarters make $1.50?
2,2-14,A rectangle has sides 9 cm and 6 cm. What is the perimeter
2,2-15,What time is 15 minutes after 1:30?
2,2-16,Write the number that is 10 more than 512?
2,2-17,Draw an array with 3 rows of 3 to show repeated addition?
2,2-18,Measure a pencil to the nearest inch. Is it 7 inches
2,2-19,"Compare using >, =, or <, 502 __ 349?"
2,2-20,Round 351 to the nearest ten?
3,3-01,What is 8 x 4?
3,3-02,What is 56 ÷ 9?
3,3-03,Place 3/4 and 2/3 on a number line from 0 to 1. Which is greater
3,3-04,A rectangle is 8 m by 7 m. What is the area
3,3-05,A movie starts at 3:10 PM and ends at 4:45 PM. How many minutes long is it
3,3-06,How many sides does a hexagon have?
3,3-07,Write the fraction of shaded squares if 6 of 10 squares are shaded?
3,3-08,How many liters are in 3000 milliliters?
3,3-09,What is 8 x 5?
3,3-10,What is 56 ÷ 8?
3,3-11,Place 3/4 and 2/3 on a number line from 0 to 1. Which is greater
3,3-12,A rectangle is 8 m by 7 m. What is the area
3,3-13,A movie starts at 3:10 PM and ends at 4:05 PM. How many minutes long is it
3,3-14,How many sides does a hexagon have?
3,3-15,Write the fraction of shaded squares if 6 of 10 squares are shaded?
3,3-16,How many liters are in 2000 milliliters?
3,3-17,What is 6 x 7?
3,3-18,What is 42 ÷ 8?
3,3-19,Place 3/4 and 2/3 on a number line from 0 to 1. Which is greater
3,3-20,A rectangle is 8 m by 7 m. What is the area
3,3-21,A movie starts at 3:10 PM and ends at 4:25 PM. How many minutes long is it
3,3-22,How many sides does a hexagon have?
3,3-23,Write the fraction of shaded squares if 6 of 10 squares are shaded?
3,3-24,How many liters are in 3000 milliliters?
4,4-01,What is 20 x 6?
4,4-02,What is 801 ÷ 8?
4,4-03,Add 3/8 + 5/8
4,4-04,Subtract 5/6 - 2/10
4,4-05,An angle measures 36° more than a right angle. What is its measure
4,4-06,Classify the shape with 4 equal sides and 4 right angles
4,4-07,Find the factor pairs of 48?
4,4-08,Round 8321 to the nearest hundred?
4,4-09,A rectangle is 15 cm by 9 cm. What is the perimeter
4,4-10,"Write a numerical expression for, add 12 and 7, then multiply by 3?"
4,4-11,What is 30 x 8?
4,4-12,What is 811 ÷ 8?
4,4-13,Add 3/8 + 5/8
4,4-14,Subtract 7/10 - 1/6
4,4-15,An angle measures 36° more than a right angle. What is its measure
4,4-16,Classify the shape with 4 equal sides and 4 right angles
4,4-17,Find the factor pairs of 24?
4,4-18,Round 1999 to the nearest hundred?
4,4-19,A rectangle is 15 cm by 7 cm. What is the perimeter
4,4-20,"Write a numerical expression for, add 12 and 7, then multiply by 3?"
4,4-21,What is 40 x 6?
4,4-22,What is 821 ÷ 5?
4,4-23,Add 3/8 + 5/8
4,4-24,Subtract 5/6 - 2/10
4,4-25,An angle measures 36° more than a right angle. What is its measure
4,4-26,Classify the shape with 4 equal sides and 4 right angles
5,5-01,Add 5/6 and 3/8. Give the total
5,5-02,A store sells 4 notebooks at $2.49 each and 3 pens at $1.25 each. You pay with $20.00. How much change do you receive
5,5-03,"Two boxes without overlap, A is 4 cm x 3 cm x 2 cm and B is 5 cm x 2 cm x 3 cm. What is the total volume"
